filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0118_rotation_90.jpg,binary_gray,True,True,163294,64.03,89.3,7.76,10.14,50.5,20.38,2038.14
burn_0118_brightness_increase.jpg,binary_gray,True,True,165586,63.66,81.71,10.04,7.69,51.0,20.26,2026.36
burn_0118_brightness_decrease.jpg,binary_gray,True,True,163865,64.25,87.44,10.14,7.76,50.5,20.45,2045.14
burn_0161_horizontal_flip.jpg,binary_gray,True,True,200310,78.55,96.94,10.14,10.14,50.5,25.0,2500.32
burn_0161_vertical_flip.jpg,binary_gray,True,True,200327,78.55,95.12,10.14,10.14,50.5,25.0,2500.32
burn_0161_rotation_90.jpg,binary_gray,True,True,200334,78.55,101.81,10.14,10.14,50.5,25.0,2500.32
burn_0161_brightness_increase.jpg,binary_gray,True,True,203120,78.09,103.25,10.04,10.04,51.0,24.86,2485.68
burn_0161_brightness_decrease.jpg,binary_gray,True,True,198715,77.92,95.44,10.14,10.14,50.5,24.8,2480.27
burn_0119_horizontal_flip.jpg,binary_gray,True,True,104547,40.99,76.79,5.23,10.14,50.5,13.05,1304.75
burn_0119_vertical_flip.jpg,binary_gray,True,True,104527,40.99,77.27,5.23,10.14,50.5,13.05,1304.75
burn_0119_rotation_90.jpg,binary_gray,True,True,104498,40.98,72.0,10.14,5.21,50.5,13.04,1304.43
burn_0119_brightness_decrease.jpg,binary_gray,True,True,104715,41.06,79.71,5.23,10.14,50.5,13.07,1306.98
burn_0014_horizontal_flip.jpg,binary_gray,True,True,166233,343.46,92.91,23.27,23.27,22.0,109.33,10932.67
burn_0014_vertical_flip.jpg,binary_gray,True,True,166232,343.45,92.91,23.27,23.27,22.0,109.32,10932.35
burn_0014_rotation_90.jpg,binary_gray,True,True,166191,343.37,92.91,23.27,23.27,22.0,109.3,10929.81
burn_0014_brightness_increase.jpg,binary_gray,True,True,166711,329.31,90.84,22.76,22.76,22.5,104.82,10482.26
burn_0014_brightness_decrease.jpg,binary_gray,True,True,166196,359.54,95.07,23.81,23.81,21.5,114.45,11444.51
burn_0104_brightness_decrease.jpg,binary_gray,True,True,220841,477.75,95.07,23.81,23.81,21.5,152.07,15207.25
burn_0035_horizontal_flip.jpg,binary_gray,True,False,132303,2700.06,1180.63,73.14,69.71,7.0,859.46,85945.58
burn_0035_vertical_flip.jpg,binary_gray,True,False,132317,3131.76,1285.72,78.77,75.08,6.5,996.87,99687.02
burn_0035_rotation_90.jpg,binary_gray,True,False,132339,3132.28,1223.99,75.08,78.77,6.5,997.04,99703.57
burn_0035_brightness_decrease.jpg,binary_gray,True,False,132615,1637.22,909.22,56.89,54.22,9.0,521.14,52114.33
burn_0154_horizontal_flip.jpg,binary_gray,True,True,196366,405.71,92.91,23.27,23.27,22.0,129.14,12914.15
burn_0154_vertical_flip.jpg,binary_gray,True,True,196358,405.7,92.91,23.27,23.27,22.0,129.14,12913.83
burn_0154_rotation_90.jpg,binary_gray,True,True,196397,405.78,92.91,23.27,23.27,22.0,129.16,12916.38
burn_0154_brightness_increase.jpg,binary_gray,True,True,200373,395.8,90.84,22.76,22.76,22.5,125.99,12598.71
burn_0154_brightness_decrease.jpg,binary_gray,True,True,196073,424.17,95.07,23.81,23.81,21.5,135.02,13501.75
burn_0124_horizontal_flip.jpg,binary_gray,True,True,166319,67.88,169.39,10.34,10.34,49.5,21.61,2160.69
burn_0124_vertical_flip.jpg,binary_gray,True,True,166325,67.88,170.38,10.34,10.34,49.5,21.61,2160.69
burn_0124_rotation_90.jpg,binary_gray,True,True,166289,67.87,153.28,10.34,10.34,49.5,21.6,2160.37
burn_0124_brightness_increase.jpg,binary_gray,True,True,163464,66.71,123.24,10.34,10.34,49.5,21.23,2123.45
burn_0124_brightness_decrease.jpg,binary_gray,True,True,165161,67.41,180.74,10.34,10.34,49.5,21.46,2145.73
burn_0130_brightness_increase.jpg,binary_gray,True,False,127411,2265.08,1026.98,68.27,68.27,7.5,721.0,72099.74
burn_0117_horizontal_flip.jpg,binary_gray,True,True,153161,424.27,391.52,25.26,26.95,19.0,135.05,13504.93
burn_0117_vertical_flip.jpg,binary_gray,True,True,153146,424.23,394.54,25.26,26.95,19.0,135.04,13503.66
burn_0117_rotation_90.jpg,binary_gray,True,True,153187,424.34,406.52,26.95,25.26,19.0,135.07,13507.16
burn_0117_brightness_increase.jpg,binary_gray,True,True,157790,437.09,376.7,25.26,26.95,19.0,139.13,13913.01
burn_0117_brightness_decrease.jpg,binary_gray,True,True,153155,424.25,439.76,25.26,26.95,19.0,135.04,13504.3
burn_0181_horizontal_flip.jpg,binary_gray,True,False,143977,2559.59,778.9,57.6,68.27,7.5,814.74,81474.28
burn_0181_rotation_90.jpg,binary_gray,True,False,143950,2559.11,740.48,68.27,57.6,7.5,814.59,81459.0
burn_0108_horizontal_flip.jpg,binary_gray,True,True,189674,74.37,111.29,10.14,10.14,50.5,23.67,2367.27
burn_0108_vertical_flip.jpg,binary_gray,True,True,189693,74.38,99.96,10.14,10.14,50.5,23.68,2367.59
burn_0108_rotation_90.jpg,binary_gray,True,True,189746,74.4,99.68,10.14,10.14,50.5,23.68,2368.23
burn_0108_brightness_decrease.jpg,binary_gray,True,True,188209,73.8,107.33,10.14,10.14,50.5,23.49,2349.13
burn_0038_horizontal_flip.jpg,binary_gray,True,True,129062,50.61,129.14,10.14,10.14,50.5,16.11,1610.97
burn_0038_vertical_flip.jpg,binary_gray,True,True,129057,50.61,129.01,10.14,10.14,50.5,16.11,1610.97
burn_0038_rotation_90.jpg,binary_gray,True,True,129019,50.59,132.77,10.14,10.14,50.5,16.1,1610.33
burn_0038_brightness_increase.jpg,binary_gray,True,True,152939,58.8,107.45,10.04,10.04,51.0,18.72,1871.66
burn_0038_brightness_decrease.jpg,binary_gray,True,True,127899,50.15,125.05,10.14,10.14,50.5,15.96,1596.32
burn_0166_horizontal_flip.jpg,binary_gray,True,True,115459,45.27,82.11,10.14,6.02,50.5,14.41,1440.99
burn_0166_vertical_flip.jpg,binary_gray,True,True,115474,45.28,83.07,10.14,6.02,50.5,14.41,1441.31
