filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0118_rotation_90.jpg,binary_hsv,True,True,37494,14.7,50.07,7.29,2.85,50.5,4.68,467.92
burn_0118_brightness_increase.jpg,binary_hsv,True,True,39498,15.19,52.95,2.82,7.22,51.0,4.84,483.51
burn_0118_brightness_decrease.jpg,binary_hsv,True,True,37571,14.73,48.99,2.85,7.29,50.5,4.69,468.87
burn_0161_horizontal_flip.jpg,binary_hsv,True,True,226432,88.79,90.95,10.14,10.14,50.5,28.26,2826.27
burn_0161_vertical_flip.jpg,binary_hsv,True,True,226431,88.79,91.59,10.14,10.14,50.5,28.26,2826.27
burn_0161_rotation_90.jpg,binary_hsv,True,True,226432,88.79,91.8,10.14,10.14,50.5,28.26,2826.27
burn_0161_brightness_increase.jpg,binary_hsv,True,True,228564,87.88,86.41,10.04,10.04,51.0,27.97,2797.31
burn_0161_brightness_decrease.jpg,binary_hsv,True,True,224935,88.2,92.32,10.14,10.14,50.5,28.07,2807.49
burn_0119_horizontal_flip.jpg,binary_hsv,True,True,90333,35.42,85.37,6.34,10.14,50.5,11.27,1127.45
burn_0119_vertical_flip.jpg,binary_hsv,True,True,90266,35.39,87.57,6.34,10.14,50.5,11.26,1126.5
burn_0119_rotation_90.jpg,binary_hsv,True,True,90336,35.42,87.41,10.14,6.34,50.5,11.27,1127.45
burn_0119_brightness_decrease.jpg,binary_hsv,True,True,92613,36.32,82.3,6.5,10.14,50.5,11.56,1156.1
burn_0014_horizontal_flip.jpg,binary_hsv,True,True,2047,4.23,10.69,2.09,2.0,22.0,1.35,134.65
burn_0014_vertical_flip.jpg,binary_hsv,True,True,2101,4.34,11.1,2.09,2.0,22.0,1.38,138.15
burn_0014_rotation_90.jpg,binary_hsv,True,True,2092,4.32,11.15,2.09,2.0,22.0,1.38,137.51
burn_0014_brightness_increase.jpg,binary_hsv,True,True,7551,14.92,67.77,8.18,6.4,22.5,4.75,474.92
burn_0014_brightness_decrease.jpg,binary_hsv,True,True,2190,4.74,11.53,2.14,2.05,21.5,1.51,150.88
burn_0104_horizontal_flip.jpg,binary_hsv,True,True,29846,61.67,146.5,18.91,6.95,22.0,19.63,1963.02
burn_0104_vertical_flip.jpg,binary_hsv,True,True,29962,61.9,159.42,18.91,6.95,22.0,19.7,1970.34
burn_0104_rotation_90.jpg,binary_hsv,True,True,29879,61.73,157.82,6.95,18.91,22.0,19.65,1964.93
burn_0104_brightness_increase.jpg,binary_hsv,True,True,37548,74.17,170.71,19.91,7.11,22.5,23.61,2360.9
burn_0104_brightness_decrease.jpg,binary_hsv,True,True,30066,65.04,187.14,19.35,7.12,21.5,20.7,2070.29
burn_0035_horizontal_flip.jpg,binary_hsv,True,False,154479,3152.63,853.38,73.14,65.14,7.0,1003.51,100351.33
burn_0035_vertical_flip.jpg,binary_hsv,True,False,154442,3655.43,918.61,78.77,70.15,6.5,1163.56,116355.95
burn_0035_rotation_90.jpg,binary_hsv,True,False,154438,3655.34,922.54,70.15,78.77,6.5,1163.53,116353.09
burn_0035_brightness_decrease.jpg,binary_hsv,True,False,154119,1902.7,673.17,56.89,50.67,9.0,605.65,60564.82
burn_0154_horizontal_flip.jpg,binary_hsv,True,True,37536,77.55,275.31,22.55,12.0,22.0,24.68,2468.49
burn_0154_vertical_flip.jpg,binary_hsv,True,True,37479,77.44,145.51,13.14,9.5,22.0,24.65,2464.99
burn_0154_rotation_90.jpg,binary_hsv,True,True,37382,77.24,384.9,14.91,22.91,22.0,24.59,2458.63
burn_0154_brightness_increase.jpg,binary_hsv,True,True,56894,112.38,349.0,22.76,16.0,22.5,35.77,3577.17
burn_0154_brightness_decrease.jpg,binary_hsv,True,True,37128,80.32,206.15,13.44,13.44,21.5,25.57,2556.67
burn_0124_horizontal_flip.jpg,binary_hsv,True,True,186661,76.18,82.49,10.34,10.34,49.5,24.25,2424.88
burn_0124_vertical_flip.jpg,binary_hsv,True,True,186599,76.16,88.28,10.34,10.34,49.5,24.24,2424.25
burn_0124_rotation_90.jpg,binary_hsv,True,True,186554,76.14,79.27,10.34,10.34,49.5,24.24,2423.61
burn_0124_brightness_increase.jpg,binary_hsv,True,True,186308,76.04,79.02,10.34,10.34,49.5,24.2,2420.43
burn_0124_brightness_decrease.jpg,binary_hsv,True,True,191606,78.2,92.13,10.34,10.34,49.5,24.89,2489.18
burn_0130_brightness_increase.jpg,binary_hsv,True,False,191150,3398.22,602.84,68.27,67.2,7.5,1081.69,108168.7
burn_0117_horizontal_flip.jpg,binary_hsv,True,True,141786,392.76,352.4,24.0,26.95,19.0,125.02,12501.94
burn_0117_vertical_flip.jpg,binary_hsv,True,True,141791,392.77,341.24,24.0,26.95,19.0,125.02,12502.26
burn_0117_rotation_90.jpg,binary_hsv,True,True,141961,393.24,348.43,26.95,23.89,19.0,125.17,12517.22
burn_0117_brightness_increase.jpg,binary_hsv,True,True,147667,409.05,318.56,24.0,26.95,19.0,130.2,13020.47
burn_0117_brightness_decrease.jpg,binary_hsv,True,True,143225,396.75,364.06,24.0,26.95,19.0,126.29,12628.94
burn_0181_horizontal_flip.jpg,binary_hsv,True,False,156856,2788.55,697.85,58.67,68.27,7.5,887.62,88762.3
burn_0181_rotation_90.jpg,binary_hsv,True,False,156816,2787.84,642.29,68.27,58.67,7.5,887.4,88739.7
burn_0108_horizontal_flip.jpg,binary_hsv,True,True,187030,73.34,82.4,9.66,10.14,50.5,23.34,2334.48
burn_0108_vertical_flip.jpg,binary_hsv,True,True,187054,73.35,80.75,9.66,10.14,50.5,23.35,2334.8
burn_0108_rotation_90.jpg,binary_hsv,True,True,187068,73.35,83.83,10.14,9.66,50.5,23.35,2334.8
burn_0108_brightness_decrease.jpg,binary_hsv,True,True,187335,73.46,85.59,9.66,10.14,50.5,23.38,2338.3
burn_0038_horizontal_flip.jpg,binary_hsv,True,True,88697,34.78,151.69,9.98,7.88,50.5,11.07,1107.08
burn_0038_vertical_flip.jpg,binary_hsv,True,True,88688,34.78,148.95,9.98,7.88,50.5,11.07,1107.08
burn_0038_rotation_90.jpg,binary_hsv,True,True,88788,34.82,153.48,7.92,9.98,50.5,11.08,1108.36
burn_0038_brightness_increase.jpg,binary_hsv,True,True,96923,37.26,154.02,9.88,8.0,51.0,11.86,1186.02
burn_0038_brightness_decrease.jpg,binary_hsv,True,True,89293,35.01,153.84,9.98,7.88,50.5,11.14,1114.4
burn_0166_horizontal_flip.jpg,binary_hsv,True,True,105284,41.28,68.71,10.14,5.86,50.5,13.14,1313.98
burn_0166_vertical_flip.jpg,binary_hsv,True,True,105289,41.29,71.14,10.14,5.86,50.5,13.14,1314.3
burn_0166_rotation_90.jpg,binary_hsv,True,True,105229,41.26,68.55,5.86,10.14,50.5,13.13,1313.35
burn_0166_brightness_increase.jpg,binary_hsv,True,True,110714,42.57,62.4,10.04,5.96,51.0,13.55,1355.05
