filename,binary_gray,binary_hsv,closing,hole_filled,opening
burn_0001_brightness_decrease.jpg,282.38,58.64,52.72,52.93,52.44
burn_0001_brightness_increase.jpg,297.53,141.32,134.87,135.18,134.29
burn_0001_horizontal_flip.jpg,270.39,56.36,51.48,51.68,51.17
burn_0001_rotation_90.jpg,270.39,56.32,51.31,51.51,51.05
burn_0001_vertical_flip.jpg,270.38,56.29,51.52,51.72,51.25
burn_0002_brightness_decrease.jpg,140.6,86.15,83.08,172.37,82.9
burn_0002_brightness_increase.jpg,145.28,87.75,85.72,172.35,85.5
burn_0002_horizontal_flip.jpg,140.64,85.91,83.38,102.65,83.28
burn_0002_rotation_90.jpg,140.74,85.99,83.15,172.32,83.09
burn_0002_vertical_flip.jpg,140.64,85.87,83.2,172.31,83.14
burn_0003_brightness_decrease.jpg,2223.16,2352.91,2076.59,4096.0,2033.92
burn_0003_brightness_increase.jpg,796.38,854.62,757.89,1438.38,742.53
burn_0003_horizontal_flip.jpg,529.89,597.85,529.05,544.05,518.25
burn_0003_rotation_90.jpg,529.92,598.64,530.42,1024.0,519.71
burn_0003_vertical_flip.jpg,529.79,598.19,528.83,543.9,517.93
burn_0004_brightness_increase.jpg,3189.17,2074.58,1981.49,4660.34,1971.32
burn_0004_horizontal_flip.jpg,2683.42,1805.53,1715.17,4096.0,1708.31
burn_0004_rotation_90.jpg,3055.66,2055.34,1946.4,4660.34,1938.67
burn_0004_vertical_flip.jpg,3054.44,2053.55,1947.22,4660.34,1939.75
burn_0005_brightness_decrease.jpg,59.53,9.32,7.45,7.76,7.36
burn_0005_brightness_increase.jpg,58.59,9.89,8.78,9.12,8.7
burn_0005_horizontal_flip.jpg,58.42,8.87,7.88,8.21,7.87
burn_0005_rotation_90.jpg,58.43,8.88,7.84,8.18,7.82
burn_0005_vertical_flip.jpg,58.43,8.88,7.9,8.23,7.88
burn_0006_brightness_decrease.jpg,88.48,88.32,88.53,97.48,88.28
burn_0006_brightness_increase.jpg,3061.27,3057.22,3066.01,3372.97,3056.44
burn_0006_horizontal_flip.jpg,88.48,88.34,88.57,97.47,88.32
burn_0006_rotation_90.jpg,88.45,88.34,88.57,97.47,88.31
burn_0006_vertical_flip.jpg,88.48,88.34,88.57,97.48,88.31
burn_0007_brightness_decrease.jpg,90.52,13.37,7.45,7.57,7.35
