filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0118_rotation_90.jpg,contour,True,True,262097,102.77,40.48,10.14,10.14,50.5,32.71,3271.27
burn_0118_brightness_increase.jpg,contour,True,True,262117,100.78,40.08,10.04,10.04,51.0,32.08,3207.93
burn_0118_brightness_decrease.jpg,contour,True,True,262057,102.76,40.48,10.14,10.14,50.5,32.71,3270.95
burn_0161_horizontal_flip.jpg,contour,True,True,262137,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0161_vertical_flip.jpg,contour,True,True,262137,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0161_rotation_90.jpg,contour,True,True,262135,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0161_brightness_increase.jpg,contour,True,True,262142,100.79,40.08,10.04,10.04,51.0,32.08,3208.25
burn_0161_brightness_decrease.jpg,contour,True,True,262128,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0119_horizontal_flip.jpg,contour,True,True,262140,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0119_vertical_flip.jpg,contour,True,True,262141,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0119_rotation_90.jpg,contour,True,True,262138,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0119_brightness_decrease.jpg,contour,True,True,262136,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0014_horizontal_flip.jpg,contour,True,True,262144,541.62,92.91,23.27,23.27,22.0,172.4,17240.3
burn_0014_vertical_flip.jpg,contour,True,True,262144,541.62,92.91,23.27,23.27,22.0,172.4,17240.3
burn_0014_rotation_90.jpg,contour,True,True,262144,541.62,92.91,23.27,23.27,22.0,172.4,17240.3
burn_0014_brightness_increase.jpg,contour,True,True,262144,517.82,90.84,22.76,22.76,22.5,164.83,16482.72
burn_0014_brightness_decrease.jpg,contour,True,True,262144,567.1,95.07,23.81,23.81,21.5,180.51,18051.35
burn_0104_brightness_decrease.jpg,contour,True,True,262144,567.1,95.07,23.81,23.81,21.5,180.51,18051.35
burn_0035_horizontal_flip.jpg,contour,True,False,262141,5349.82,292.0,73.14,73.14,7.0,1702.9,170290.06
