filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0118_rotation_90.jpg,hole_filled,True,True,34656,13.59,47.6,7.13,2.69,50.5,4.33,432.58
burn_0118_brightness_increase.jpg,hole_filled,True,True,37134,14.28,45.85,2.67,7.06,51.0,4.55,454.55
burn_0118_brightness_decrease.jpg,hole_filled,True,True,35044,13.74,48.9,2.85,7.13,50.5,4.37,437.36
burn_0161_horizontal_flip.jpg,hole_filled,True,True,242630,95.14,61.21,10.14,10.14,50.5,30.28,3028.4
burn_0161_vertical_flip.jpg,hole_filled,True,True,262144,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0161_rotation_90.jpg,hole_filled,True,True,262144,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0161_brightness_increase.jpg,hole_filled,True,True,258894,99.54,47.0,10.04,10.04,51.0,31.68,3168.46
burn_0161_brightness_decrease.jpg,hole_filled,True,True,258559,101.39,47.54,10.14,10.14,50.5,32.27,3227.34
burn_0119_horizontal_flip.jpg,hole_filled,True,True,116434,45.66,64.6,6.65,10.14,50.5,14.53,1453.4
burn_0119_vertical_flip.jpg,hole_filled,True,True,234198,91.83,53.0,9.82,10.14,50.5,29.23,2923.04
burn_0119_rotation_90.jpg,hole_filled,True,True,234244,91.85,53.27,10.14,9.82,50.5,29.24,2923.68
burn_0119_brightness_decrease.jpg,hole_filled,True,True,234677,92.02,52.0,9.82,10.14,50.5,29.29,2929.09
burn_0014_horizontal_flip.jpg,hole_filled,True,True,1593,3.29,10.69,2.09,2.0,22.0,1.05,104.72
burn_0014_vertical_flip.jpg,hole_filled,True,True,1597,3.3,11.1,2.09,2.0,22.0,1.05,105.04
burn_0014_rotation_90.jpg,hole_filled,True,True,1598,3.3,11.15,2.09,2.0,22.0,1.05,105.04
burn_0014_brightness_increase.jpg,hole_filled,True,True,4854,9.59,56.49,7.16,5.64,22.5,3.05,305.26
burn_0014_brightness_decrease.jpg,hole_filled,True,True,1598,3.46,11.53,2.14,2.05,21.5,1.1,110.14
burn_0104_horizontal_flip.jpg,hole_filled,True,True,28341,58.56,114.97,14.55,6.55,22.0,18.64,1864.02
burn_0104_vertical_flip.jpg,hole_filled,True,True,28239,58.35,99.01,14.55,6.55,22.0,18.57,1857.34
burn_0104_rotation_90.jpg,hole_filled,True,True,28355,58.58,93.88,6.5,14.55,22.0,18.65,1864.66
burn_0104_brightness_increase.jpg,hole_filled,True,True,36990,73.07,152.77,19.91,6.76,22.5,23.26,2325.89
burn_0104_brightness_decrease.jpg,hole_filled,True,True,28239,61.09,104.82,14.88,6.42,21.5,19.45,1944.56
burn_0035_horizontal_flip.jpg,hole_filled,True,False,246095,5022.35,359.19,73.14,73.14,7.0,1598.66,159866.37
burn_0035_vertical_flip.jpg,hole_filled,True,False,180015,4260.71,569.67,78.77,70.15,6.5,1356.23,135622.61
burn_0035_rotation_90.jpg,hole_filled,True,False,180003,4260.43,654.84,70.15,78.77,6.5,1356.14,135613.7
burn_0035_brightness_decrease.jpg,hole_filled,True,False,262144,3236.35,227.11,56.89,56.89,9.0,1030.16,103016.22
burn_0154_horizontal_flip.jpg,hole_filled,True,True,29171,60.27,87.07,7.86,7.64,22.0,19.18,1918.45
burn_0154_vertical_flip.jpg,hole_filled,True,True,29180,60.29,82.99,7.86,7.64,22.0,19.19,1919.09
burn_0154_rotation_90.jpg,hole_filled,True,True,29071,60.06,121.86,8.36,11.77,22.0,19.12,1911.77
burn_0154_brightness_increase.jpg,hole_filled,True,True,49354,97.49,226.04,21.69,12.09,22.5,31.03,3103.2
burn_0154_brightness_decrease.jpg,hole_filled,True,True,28434,61.51,121.87,12.28,8.56,21.5,19.58,1957.92
burn_0124_horizontal_flip.jpg,hole_filled,True,True,262144,106.99,41.29,10.34,10.34,49.5,34.06,3405.6
burn_0124_vertical_flip.jpg,hole_filled,True,True,205112,83.71,55.03,10.34,10.34,49.5,26.65,2664.57
burn_0124_rotation_90.jpg,hole_filled,True,True,205079,83.7,54.67,10.34,10.34,49.5,26.64,2664.25
burn_0124_brightness_increase.jpg,hole_filled,True,True,262144,106.99,41.29,10.34,10.34,49.5,34.06,3405.6
burn_0124_brightness_decrease.jpg,hole_filled,True,True,262144,106.99,41.29,10.34,10.34,49.5,34.06,3405.6
burn_0130_brightness_increase.jpg,hole_filled,True,False,178076,3165.8,826.44,66.13,67.2,7.5,1007.71,100770.54
burn_0117_horizontal_flip.jpg,hole_filled,True,True,140929,390.39,277.17,24.0,26.95,19.0,124.26,12426.5
burn_0117_vertical_flip.jpg,hole_filled,True,True,262112,726.07,107.55,26.95,26.95,19.0,231.12,23111.53
burn_0117_rotation_90.jpg,hole_filled,True,True,262112,726.07,107.55,26.95,26.95,19.0,231.12,23111.53
burn_0117_brightness_increase.jpg,hole_filled,True,True,262144,726.16,107.58,26.95,26.95,19.0,231.14,23114.39
burn_0117_brightness_decrease.jpg,hole_filled,True,True,262144,726.16,107.58,26.95,26.95,19.0,231.14,23114.39
burn_0181_horizontal_flip.jpg,hole_filled,True,False,157422,2798.61,459.76,58.67,68.27,7.5,890.83,89082.52
burn_0181_rotation_90.jpg,hole_filled,True,False,262144,4660.34,272.53,68.27,68.27,7.5,1483.43,148343.23
burn_0108_horizontal_flip.jpg,hole_filled,True,True,257736,101.06,45.28,10.14,10.14,50.5,32.17,3216.84
burn_0108_vertical_flip.jpg,hole_filled,True,True,207555,81.39,61.43,9.35,10.14,50.5,25.91,2590.72
burn_0108_rotation_90.jpg,hole_filled,True,True,207554,81.39,57.8,10.14,9.35,50.5,25.91,2590.72
burn_0108_brightness_decrease.jpg,hole_filled,True,True,207719,81.45,61.37,9.5,10.14,50.5,25.93,2592.63
burn_0038_horizontal_flip.jpg,hole_filled,True,True,88134,34.56,141.63,9.98,7.76,50.5,11.0,1100.08
burn_0038_vertical_flip.jpg,hole_filled,True,True,88009,34.51,134.5,9.98,7.76,50.5,10.98,1098.49
burn_0038_rotation_90.jpg,hole_filled,True,True,88045,34.52,134.69,7.76,9.98,50.5,10.99,1098.81
burn_0038_brightness_increase.jpg,hole_filled,True,True,95957,36.89,135.25,9.88,7.69,51.0,11.74,1174.25
burn_0038_brightness_decrease.jpg,hole_filled,True,True,88517,34.71,141.15,9.98,7.76,50.5,11.05,1104.85
burn_0166_horizontal_flip.jpg,hole_filled,True,True,195771,76.77,49.52,10.14,9.19,50.5,24.44,2443.66
burn_0166_vertical_flip.jpg,hole_filled,True,True,171691,67.32,55.08,10.14,6.81,50.5,21.43,2142.86
burn_0166_rotation_90.jpg,hole_filled,True,True,171762,67.35,53.27,6.81,10.14,50.5,21.44,2143.82
burn_0166_brightness_increase.jpg,hole_filled,True,True,196148,75.41,49.99,10.04,9.04,51.0,24.0,2400.37
burn_0166_brightness_decrease.jpg,hole_filled,True,True,195934,76.83,49.91,10.14,9.19,50.5,24.46,2445.57
burn_0042_brightness_decrease.jpg,hole_filled,True,True,262144,76.6,34.94,8.75,8.75,58.5,24.38,2438.25
burn_0064_horizontal_flip.jpg,hole_filled,True,True,230255,93.97,52.64,10.34,10.34,49.5,29.91,2991.16
burn_0064_vertical_flip.jpg,hole_filled,True,True,261626,106.78,43.55,10.34,10.34,49.5,33.99,3398.91
burn_0064_rotation_90.jpg,hole_filled,True,True,261632,106.78,43.47,10.34,10.34,49.5,33.99,3398.91
burn_0064_brightness_increase.jpg,hole_filled,True,True,262144,104.86,40.88,10.24,10.24,50.0,33.38,3337.8
burn_0064_brightness_decrease.jpg,hole_filled,True,True,262144,106.99,41.29,10.34,10.34,49.5,34.06,3405.6
burn_0100_rotation_90.jpg,hole_filled,True,False,131170,1619.38,347.08,56.89,38.22,9.0,515.46,51546.47
burn_0100_brightness_decrease.jpg,hole_filled,True,True,130572,1612.0,349.5,38.22,56.89,9.0,513.12,51311.55
burn_0131_horizontal_flip.jpg,hole_filled,True,True,15338,31.69,118.95,13.82,3.64,22.0,10.09,1008.72
burn_0131_vertical_flip.jpg,hole_filled,True,True,15423,31.87,132.06,13.82,3.64,22.0,10.14,1014.45
burn_0131_rotation_90.jpg,hole_filled,True,True,15569,32.17,120.28,3.64,13.82,22.0,10.24,1024.0
burn_0131_brightness_increase.jpg,hole_filled,True,True,46267,91.39,217.85,20.98,7.82,22.5,29.09,2909.03
burn_0131_brightness_decrease.jpg,hole_filled,True,True,14653,31.7,99.44,11.86,3.72,21.5,10.09,1009.04
burn_0180_rotation_90.jpg,hole_filled,True,True,23547,10.66,61.43,8.13,3.06,47.0,3.39,339.32
burn_0180_brightness_increase.jpg,hole_filled,True,True,255420,113.21,56.59,10.78,10.78,47.5,36.04,3603.59
burn_0092_horizontal_flip.jpg,hole_filled,True,True,222438,65.0,87.03,8.75,8.75,58.5,20.69,2069.01
burn_0092_vertical_flip.jpg,hole_filled,True,True,188950,55.21,77.71,8.29,8.75,58.5,17.57,1757.39
burn_0092_rotation_90.jpg,hole_filled,True,True,188999,55.23,74.27,8.75,8.62,58.5,17.58,1758.03
burn_0092_brightness_increase.jpg,hole_filled,True,True,197002,54.72,62.69,8.4,8.53,60.0,17.42,1741.79
burn_0092_brightness_decrease.jpg,hole_filled,True,True,188512,56.04,75.37,8.69,8.83,58.0,17.84,1783.81
