filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0118_rotation_90.jpg,opening,True,True,33654,13.2,47.88,7.13,2.69,50.5,4.2,420.17
burn_0118_brightness_increase.jpg,opening,True,True,36113,13.88,47.93,2.67,7.06,51.0,4.42,441.81
burn_0118_brightness_decrease.jpg,opening,True,True,34052,13.35,48.92,2.85,7.13,50.5,4.25,424.94
burn_0161_horizontal_flip.jpg,opening,True,True,222919,87.41,81.77,10.14,10.14,50.5,27.82,2782.35
burn_0161_vertical_flip.jpg,opening,True,True,222917,87.41,82.16,10.14,10.14,50.5,27.82,2782.35
burn_0161_rotation_90.jpg,opening,True,True,223013,87.45,79.92,10.14,10.14,50.5,27.84,2783.62
burn_0161_brightness_increase.jpg,opening,True,True,225460,86.68,74.11,10.04,10.04,51.0,27.59,2759.11
burn_0161_brightness_decrease.jpg,opening,True,True,221475,86.84,87.39,10.14,10.14,50.5,27.64,2764.2
burn_0119_horizontal_flip.jpg,opening,True,True,87094,34.15,81.75,6.34,10.14,50.5,10.87,1087.03
burn_0119_vertical_flip.jpg,opening,True,True,87127,34.16,81.96,6.34,10.14,50.5,10.87,1087.35
burn_0119_rotation_90.jpg,opening,True,True,87151,34.17,78.46,10.14,6.34,50.5,10.88,1087.66
burn_0119_brightness_decrease.jpg,opening,True,True,89288,35.01,80.55,6.3,10.14,50.5,11.14,1114.4
burn_0014_horizontal_flip.jpg,opening,True,True,1541,3.18,10.69,2.09,2.0,22.0,1.01,101.22
burn_0014_vertical_flip.jpg,opening,True,True,1545,3.19,11.1,2.09,2.0,22.0,1.02,101.54
burn_0014_rotation_90.jpg,opening,True,True,1543,3.19,11.15,2.09,2.0,22.0,1.02,101.54
burn_0014_brightness_increase.jpg,opening,True,True,4783,9.45,57.25,7.16,5.64,22.5,3.01,300.8
burn_0014_brightness_decrease.jpg,opening,True,True,1546,3.34,11.53,2.14,2.05,21.5,1.06,106.32
burn_0104_horizontal_flip.jpg,opening,True,True,25678,53.05,113.07,14.55,6.55,22.0,16.89,1688.63
burn_0104_vertical_flip.jpg,opening,True,True,25568,52.83,101.81,14.55,6.55,22.0,16.82,1681.63
burn_0104_rotation_90.jpg,opening,True,True,25611,52.92,96.37,6.5,14.55,22.0,16.84,1684.5
burn_0104_brightness_increase.jpg,opening,True,True,33607,66.38,156.3,19.91,6.76,22.5,21.13,2112.94
burn_0104_brightness_decrease.jpg,opening,True,True,25656,55.5,108.39,14.88,6.42,21.5,17.67,1766.62
burn_0035_horizontal_flip.jpg,opening,True,False,153167,3125.86,754.21,73.14,65.14,7.0,994.99,99499.21
burn_0035_vertical_flip.jpg,opening,True,False,153127,3624.31,811.99,78.77,70.15,6.5,1153.65,115365.37
burn_0035_rotation_90.jpg,opening,True,False,153002,3621.35,879.51,70.15,78.77,6.5,1152.71,115271.15
burn_0035_brightness_decrease.jpg,opening,True,False,152863,1887.2,588.38,56.89,50.67,9.0,600.71,60071.44
burn_0154_horizontal_flip.jpg,opening,True,True,28781,59.46,81.71,7.86,7.64,22.0,18.93,1892.67
burn_0154_vertical_flip.jpg,opening,True,True,28764,59.43,90.55,8.64,7.73,22.0,18.92,1891.72
burn_0154_rotation_90.jpg,opening,True,True,28652,59.2,122.62,8.36,11.77,22.0,18.84,1884.39
burn_0154_brightness_increase.jpg,opening,True,True,48990,96.77,230.68,21.69,12.09,22.5,30.8,3080.28
burn_0154_brightness_decrease.jpg,opening,True,True,27950,60.47,92.55,8.98,7.95,21.5,19.25,1924.82
burn_0124_horizontal_flip.jpg,opening,True,True,184397,75.26,101.36,10.34,10.34,49.5,23.96,2395.6
burn_0124_vertical_flip.jpg,opening,True,True,184411,75.26,100.07,10.34,10.34,49.5,23.96,2395.6
burn_0124_rotation_90.jpg,opening,True,True,184390,75.25,83.2,10.34,10.34,49.5,23.95,2395.28
burn_0124_brightness_increase.jpg,opening,True,True,184519,75.31,81.31,10.34,10.34,49.5,23.97,2397.19
burn_0124_brightness_decrease.jpg,opening,True,True,187671,76.59,85.04,10.34,10.34,49.5,24.38,2437.94
burn_0130_brightness_increase.jpg,opening,True,False,176374,3135.54,859.95,66.13,67.2,7.5,998.07,99807.34
burn_0117_horizontal_flip.jpg,opening,True,True,132316,366.53,309.04,24.0,26.95,19.0,116.67,11667.01
burn_0117_vertical_flip.jpg,opening,True,True,132314,366.52,305.92,24.0,26.95,19.0,116.67,11666.69
burn_0117_rotation_90.jpg,opening,True,True,132417,366.81,288.36,26.95,23.89,19.0,116.76,11675.92
burn_0117_brightness_increase.jpg,opening,True,True,138426,383.45,267.66,24.0,26.95,19.0,122.06,12205.59
burn_0117_brightness_decrease.jpg,opening,True,True,133487,369.77,281.34,23.84,26.95,19.0,117.7,11770.14
burn_0181_horizontal_flip.jpg,opening,True,False,151596,2695.04,508.71,58.67,68.27,7.5,857.86,85785.79
burn_0181_rotation_90.jpg,opening,True,False,151684,2696.6,521.9,68.27,58.67,7.5,858.35,85835.44
burn_0108_horizontal_flip.jpg,opening,True,True,186207,73.02,77.17,9.35,10.14,50.5,23.24,2324.3
burn_0108_vertical_flip.jpg,opening,True,True,186157,73.0,80.95,9.35,10.14,50.5,23.24,2323.66
burn_0108_rotation_90.jpg,opening,True,True,186180,73.0,77.96,10.14,9.35,50.5,23.24,2323.66
burn_0108_brightness_decrease.jpg,opening,True,True,186342,73.07,81.21,9.5,10.14,50.5,23.26,2325.89
burn_0038_horizontal_flip.jpg,opening,True,True,87009,34.12,143.26,9.98,7.76,50.5,10.86,1086.07
burn_0038_vertical_flip.jpg,opening,True,True,86869,34.06,136.0,9.98,7.76,50.5,10.84,1084.16
burn_0038_rotation_90.jpg,opening,True,True,86903,34.08,139.42,7.76,9.98,50.5,10.85,1084.8
burn_0038_brightness_increase.jpg,opening,True,True,94642,36.39,140.76,9.88,7.69,51.0,11.58,1158.33
burn_0038_brightness_decrease.jpg,opening,True,True,87355,34.25,145.95,9.98,7.76,50.5,10.9,1090.21
burn_0166_horizontal_flip.jpg,opening,True,True,104548,41.0,65.79,10.14,5.86,50.5,13.05,1305.07
